Республика Адыгея;RU-AD
Республика Башкортостан;RU-BA
Республика Бурятия;RU-BU
Республика Алтай;RU-AL
Республика Дагестан;RU-DA
Республика Ингушетия;RU-IN
Кабардино-Балкарская Республика;RU-KB
Республика Калмыкия;RU-KL
Карачаево-Черкесская Республика;RU-KC
Республика Карелия;RU-KR
Республика Коми;RU-KO
Республика Марий Эл;RU-ME
Республика Мордовия;RU-MO
Республика Саха (Якутия);RU-SA
Республика Северная Осетия — Алания;RU-SE
Республика Татарстан;RU-TA
Республика Тыва;RU-TY
Удмуртская Республика;RU-UD
Республика Хакасия;RU-KK
Чеченская Республика;RU-CE
Чувашская Республика;RU-CU
Алтайский край;RU-ALT
Краснодарский край;RU-KDA
Красноярский край;RU-KYA
Приморский край;RU-PRI
Ставропольский край;RU-STA
Хабаровский край;RU-KHA
Амурская область;RU-AMU
Архангельская область;RU-ARK
Астраханская область;RU-AST
Белгородская область;RU-BEL
Брянская область;RU-BRY
Владимирская область;RU-VLA
Волгоградская область;RU-VGG
Вологодская область;RU-VLG
Воронежская область;RU-VOR
Ивановская область;RU-IVA
Иркутская область;RU-IRK
Калининградская область;RU-KGD
Калужская область;RU-KLU
Камчатский край;RU-KAM
Кемеровская область;RU-KEM
Кировская область;RU-KIR
Костромская область;RU-KOS
Курганская область;RU-KGN
Курская область;RU-KRS
Ленинградская область;RU-LEN
Липецкая область;RU-LIP
Магаданская область;RU-MAG
Московская область;RU-MOS
Мурманская область;RU-MUR
Нижегородская область;RU-NIZ
Новгородская область;RU-NGR
Новосибирская область;RU-NVS
Омская область;RU-OMS
Оренбургская область;RU-ORE
Орловская область;RU-ORL
Пензенская область;RU-PNZ
Пермский край;RU-PER
Псковская область;RU-PSK
Ростовская область;RU-ROS
Рязанская область;RU-RYA
Самарская область;RU-SAM
Саратовская область;RU-SAR
Сахалинская область;RU-SAK
Свердловская область;RU-SVE
Смоленская область;RU-SMO
Тамбовская область;RU-TAM
Тверская область;RU-TVE
Томская область;RU-TOM
Тульская область;RU-TUL
Тюменская область;RU-TYU
Ульяновская область;RU-ULY
Челябинская область;RU-CHE
Забайкальский край;RU-ZAB
Ярославская область;RU-YAR
Москва;RU-MOW
Санкт-Петербург;RU-SPE
Еврейская автономная область;RU-YEV
Ненецкий автономный округ;RU-NEN
Ханты-Мансийский автономный округ - Югра;RU-KHM
Чукотский автономный округ;RU-CHU
Ямало-Ненецкий автономный округ;RU-YAN
Республика Крым;RU-CR
Севастополь;RU-SEV